# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-CHUNK/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-CHUNK
# input: research/raw/EXP-HARNESS-SMOKE-CHUNK/20260917T062008Z-86f8a0.jsonl sha256=6d7ba30f24f0f27e25f173c5c5be28dec23ed3963ec3211bdc386d372992be15
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gear-norm-balanced,generated/tiny-text-chunk,wall_s,time_wall,s,False,1,0.015884956,0.015884956,0.015884956,0,0,0.015884956,0.015884956,0.015884956,0.015884956
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gear-norm-balanced,generated/tiny-text-chunk,cpu_s,time_cpu,s,False,1,0.004739,0.004739,0.004739,0,0,0.004739,0.004739,0.004739,0.004739
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gear-norm-balanced,generated/tiny-text-chunk,max_rss_bytes,memory_peak,B,True,1,3477504,3477504,3477504,0,0,3477504,3477504,3477504,3477504
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gear-norm-balanced,generated/tiny-text-chunk,input_bytes,size,B,True,1,8192,8192,8192,0,0,8192,8192,8192,8192
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,gear-norm-balanced,generated/tiny-text-chunk,record_seq,correctness,,True,1,0,0,0,0,0,0,0,0,
