# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
run_id,seq,candidate,item_key,repetition,exit_code,ok,invalid_reasons
size-small-20260917T033541Z,756,zip-6,validation/f19-validation-deep,0,0,False,command_or_check_failed
size-small-20260917T033541Z,204,zpaq-m5,tuning/f01-tuning-ripgrep-14-1-1-git,0,0,False,command_or_check_failed
20260917T031201Z-e86b28,0,zpaq-m5,tuning/f01-tuning-zstd-v1-5-7-git,0,0,False,command_or_check_failed
size-small-20260917T033541Z,0,zpaq-m5,tuning/f01-tuning-zstd-v1-5-7-git,0,0,False,command_or_check_failed
size-small-20260917T033541Z,367,zpaq-m5,validation/f02-validation-cjson-cmake-build,0,0,False,command_or_check_failed
