# generated-by: python -m ebr normalize --spec research/baselines/specs/EXP-BASE-SIZE-small.yaml --include-incomplete
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: ab31252312efde894207d1dacdd421d54c7f9e97
# experiment: EXP-BASE-SIZE
# input: research/raw/EXP-BASE-SIZE/20260917T031201Z-e86b28.jsonl sha256=None
# input: research/raw/EXP-BASE-SIZE/size-small-20260917T033541Z.jsonl.gz sha256=d579b69af1eb5c5200a81e933dc563313708ae9ac27cacfbd39b26621d92f6f0
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx5-solid,output_bytes,size,B,item_median,True,27,27,2491095,9652154.2,12176026.1,3552711.5,1784931,2214120.317,986133,4413908,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-solid,output_bytes,size,B,item_median,True,27,27,2441403,9652061.4,12175742.6,3607230,1801751,2172485.622,979114,4413926,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,7z-mx9-nosolid,output_bytes,size,B,item_median,True,27,27,3251637,11000377.2,12887754,4175126.5,1646561,3220731.819,2195390,6094697,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-zstd,output_bytes,size,B,item_median,True,27,27,3305472,11040358.4,13029785.6,5318656,2342912,3182420.159,1683456,6131712,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,squashfs-xz,output_bytes,size,B,item_median,True,27,27,3100672,11033804.8,12958924.8,4679680,1974272,3010602.492,1564672,5963776,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzx,output_bytes,size,B,item_median,True,27,27,3620614,11110718.6,13174639.1,4998595.5,2130540,3466490.655,1845951,6169420,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,wim-lzms-solid,output_bytes,size,B,item_median,True,27,27,2647640,9721772.8,12265872.2,4013695,1938652,2286986.877,1080582,4844074,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,borg-repo,output_bytes,size,B,item_median,True,27,27,3567329,11056306.8,13013681.8,5212195.5,2155308,3297207.38,1815284,6391027,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,restic-repo,output_bytes,size,B,item_median,True,27,27,3881603,11190566,13424870.7,5760157.5,2508127,3731652.833,2147935,6392080,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,dwarfs-l7,output_bytes,size,B,item_median,True,27,27,2500399,9710262.6,12248826.4,4072807.5,1811498,2254584.586,1271792,5001694,0.99,ok:percentile-bootstrap:median:resamples=20000:seed=20260917
