# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-PLANNER/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-PLANNER
# input: research/raw/EXP-HARNESS-SMOKE-PLANNER/20260917T062033Z-16f445.jsonl sha256=06018c5c24010a8fc960ee3d4175276582843844ff414e48599f8cb943f50177
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,balanced,generated/tiny-text-planner,wall_s,time_wall,s,False,1,0.141265098,0.141265098,0.141265098,0,0,0.141265098,0.141265098,0.141265098,0.141265098
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,balanced,generated/tiny-text-planner,cpu_s,time_cpu,s,False,1,0.143658,0.143658,0.143658,0,0,0.143658,0.143658,0.143658,0.143658
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,balanced,generated/tiny-text-planner,max_rss_bytes,memory_peak,B,True,1,35373056,35373056,35373056,0,0,35373056,35373056,35373056,35373056
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,balanced,generated/tiny-text-planner,input_bytes,size,B,True,1,8192,8192,8192,0,0,8192,8192,8192,8192
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,balanced,generated/tiny-text-planner,record_seq,correctness,,True,1,14,14,14,0,0,14,14,14,14
