# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-NETEM/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-NETEM
# input: research/raw/EXP-HARNESS-SMOKE-NETEM/20260917T062108Z-5ea57f.jsonl sha256=274d837c4fd1552cf54cda601f6a4ab7cdad4e3231c2764ed0725e1fc88474dd
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,origin-roundtrip,wall_s,time_wall,s,item_median,False,1,1,0.11004985,0.11004985,0.11004985,0,0,0.11004985,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,origin-roundtrip,cpu_s,time_cpu,s,item_median,False,1,1,0.048091,0.048091,0.048091,0,0,0.048091,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,origin-roundtrip,input_bytes,size,B,item_median,True,1,1,4096,4096,4096,0,0,4096,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,origin-roundtrip,roundtrip_ok,correctness,,item_median,True,1,1,1,1,1,0,0,1,,,0.99,insufficient_units
