# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-CODEC/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-CODEC
# input: research/raw/EXP-HARNESS-SMOKE-CODEC/20260917T062021Z-e8f666.jsonl sha256=bd082e5dc4cc0f280221d8b4ef9c0c3afd63ab65c681eb40d7a98b9a86b5a5e5
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,compare-level3,generated/tiny-text-codec,wall_s,time_wall,s,False,1,0.021314121,0.021314121,0.021314121,0,0,0.021314121,0.021314121,0.021314121,0.021314121
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,compare-level3,generated/tiny-text-codec,cpu_s,time_cpu,s,False,1,0.007139,0.007139,0.007139,0,0,0.007139,0.007139,0.007139,0.007139
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,compare-level3,generated/tiny-text-codec,max_rss_bytes,memory_peak,B,True,1,7204864,7204864,7204864,0,0,7204864,7204864,7204864,7204864
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,compare-level3,generated/tiny-text-codec,input_bytes,size,B,True,1,8192,8192,8192,0,0,8192,8192,8192,8192
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,compare-level3,generated/tiny-text-codec,record_seq,correctness,,True,1,0,0,0,0,0,0,0,0,
