# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-ACCESS/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-ACCESS
# input: research/raw/EXP-HARNESS-SMOKE-ACCESS/20260917T062048Z-9c90bc.jsonl sha256=908be538f38023e58684650e5e83fe2917dac32885e0c22c0df5176287a2c034
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,metric,family,unit,unit_of_analysis,decision_grade,n_units,n_items,median,p90,p95,iqr,mad,geomean,ci_lower,ci_upper,ci_confidence,ci_status
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,wall_s,time_wall,s,item_median,False,1,1,0.029182144,0.029182144,0.029182144,0,0,0.029182144,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,cpu_s,time_cpu,s,item_median,False,1,1,0.014753,0.014753,0.014753,0,0,0.014753,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,max_rss_bytes,memory_peak,B,item_median,True,1,1,7933952,7933952,7933952,0,0,7933952,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,input_bytes,size,B,item_median,True,1,1,8192,8192,8192,0,0,8192,,,0.99,insufficient_units
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,record_seq,correctness,,item_median,True,1,1,0,0,0,0,0,,,,0.99,insufficient_units
