# generated-by: python -m ebr normalize --spec research/experiments/EXP-HARNESS-SMOKE-ACCESS/spec.yaml
# tool: ebr 0.1.0 (research/tools/ebr)
# tool-git-sha: 4593671e2aecad82fe4f547d1ba874d1aa3f177f
# experiment: EXP-HARNESS-SMOKE-ACCESS
# input: research/raw/EXP-HARNESS-SMOKE-ACCESS/20260917T062048Z-9c90bc.jsonl sha256=908be538f38023e58684650e5e83fe2917dac32885e0c22c0df5176287a2c034
# do-not-edit: regenerate with the generated-by command; no number here is hand-entered
env_id,candidate,item_key,metric,family,unit,decision_grade,n,median,p90,p95,iqr,mad,min,max,mean,geomean
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,generated/tiny-text-access,wall_s,time_wall,s,False,1,0.029182144,0.029182144,0.029182144,0,0,0.029182144,0.029182144,0.029182144,0.029182144
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,generated/tiny-text-access,cpu_s,time_cpu,s,False,1,0.014753,0.014753,0.014753,0,0,0.014753,0.014753,0.014753,0.014753
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,generated/tiny-text-access,max_rss_bytes,memory_peak,B,True,1,7933952,7933952,7933952,0,0,7933952,7933952,7933952,7933952
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,generated/tiny-text-access,input_bytes,size,B,True,1,8192,8192,8192,0,0,8192,8192,8192,8192
8576a4a4947ee57863c03ba9ebd455a4b41191d3a41a70fd8e35ae7d79db506e,memory-balanced,generated/tiny-text-access,record_seq,correctness,,True,1,0,0,0,0,0,0,0,0,
